Culture,Bloc,Composition,Jours,Biomasse ,RYT,NE,CE,SE,RS,DFSF,DFSLA,DFfMI,DFfALL
J60B1LmSpWc,1,LmSpWc,60,2922.5,1.005678137,32.11871233,16.21884195,15.89987038,3,8.3289134,2.14947434,1.17084623,8.9875593
J60B1LmSpLt,1,LmSpLt,60,2645.2,1.688608835,584.1063849,1287.078774,-702.9723892,3,6.4106125,0.31593763,0.91686287,6.4869875
J60B1LmWcLt,1,LmWcLt,60,2814.2,1.122327661,430.7778704,267.253319,163.5245514,3,4.8859069,2.17910526,0.61904174,5.3993437
J60B1SpWcLt,1,SpWcLt,60,2606.9,1.410298988,654.4469718,753.3499717,-98.90299987,3,9.3119698,2.09839988,1.26856691,9.8185073
J60B1LmSpWcLt,1,LmSpWcLt,60,2774.6,1.260937402,468.3509442,570.559199,-102.2082548,4,6.9615417,1.80818592,0.97184018,7.4952065
J60B2LmSp,2,LmSp,60,3071.7,1.037425417,205.8661266,105.0007489,100.8653777,2,7.2839899,0.28288212,1.07280096,7.3680007
J60B2LmWc,2,LmWc,60,3144.1,0.950926302,-161.060935,-162.1836662,1.122731191,2,5.3846369,2.58189671,0.64981868,6.0068935
J60B2LmLt,2,LmLt,60,3055.4,2.020635688,1100.155531,1754.013462,-653.8579306,2,0.1523039,0.36884081,0.09778742,0.4108557
J60B2SpWc,2,SpWc,60,2652.2,0.925244307,-181.771422,-209.368269,27.59684692,2,12.7326103,2.29203853,1.73227375,13.052723
J60B2SpLt,2,SpLt,60,2688.1,2.452593117,1441.341738,1763.956452,-322.6147139,2,7.2272706,0.09012841,0.98745489,7.2949729
J60B2WcLt,2,WcLt,60,3143.6,1.274339546,1277.251212,470.1219635,807.1292486,2,5.5042232,2.19155687,0.74470203,5.971095
J60B2LmSpWc,2,LmSpWc,60,2986.4,0.941078594,-15.82357528,-175.0201433,159.1965681,3,8.3289134,2.14947434,1.17084623,8.9875593
J60B2LmSpLt,2,LmSpLt,60,2758.8,1.66974686,647.1385464,1281.114118,-633.975572,3,6.4106125,0.31593763,0.91686287,6.4869875
J60B2LmWcLt,2,LmWcLt,60,3230.8,1.52633053,778.1241843,1181.980471,-403.8562868,3,4.8859069,2.17910526,0.61904174,5.3993437
J60B2SpWcLt,2,SpWcLt,60,2475.4,1.185232504,441.041398,353.7138143,87.32758371,3,9.3119698,2.09839988,1.26856691,9.8185073
J60B2LmSpWcLt,2,LmSpWcLt,60,2799.3,1.125950188,414.551773,284.600193,129.95158,4,6.9615417,1.80818592,0.97184018,7.4952065
J60B3LmSp,3,LmSp,60,2658.2,0.93381595,-149.0177576,-183.6938318,34.67607422,2,7.2839899,0.28288212,1.07280096,7.3680007
J60B3LmWc,3,LmWc,60,2659,0.822414208,-587.9650203,-578.6721827,-9.292837664,2,5.3846369,2.58189671,0.64981868,6.0068935
J60B3LmLt,3,LmLt,60,2851.4,2.083267618,1060.208912,1703.763309,-643.5543979,2,0.1523039,0.36884081,0.09778742,0.4108557
J60B3SpWc,3,SpWc,60,2449.5,0.818807091,-575.7385848,-542.3194349,-33.41914998,2,12.7326103,2.29203853,1.73227375,13.052723
J60B3SpLt,3,SpLt,60,2326.7,2.168399138,983.5438605,1527.448193,-543.9043321,2,7.2272706,0.09012841,0.98745489,7.2949729
J60B3WcLt,3,WcLt,60,2977.6,1.170004372,1024.983173,304.3673281,720.6158444,2,5.5042232,2.19155687,0.74470203,5.971095
J60B3LmSpWc,3,LmSpWc,60,2912.3,0.995962277,-108.4973074,-12.14964364,-96.34766378,3,8.3289134,2.14947434,1.17084623,8.9875593
J60B3LmSpLt,3,LmSpLt,60,2962.4,2.291625902,897.7840525,2434.973151,-1537.189099,3,6.4106125,0.31593763,0.91686287,6.4869875
J60B3LmWcLt,3,LmWcLt,60,2808.8,1.344375914,408.7506871,760.1179963,-351.3673092,3,4.8859069,2.17910526,0.61904174,5.3993437
J60B3SpWcLt,3,SpWcLt,60,2501.7,1.423623507,337.9255477,860.0545642,-522.1290165,3,9.3119698,2.09839988,1.26856691,9.8185073
J60B3LmSpWcLt,3,LmSpWcLt,60,2456.1,1.225534927,54.34349838,514.8793242,-460.5358258,4,6.9615417,1.80818592,0.97184018,7.4952065
